#,Team,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE,POSS,Year
1,Philadelphia 76ers,21,16,5,1013,98.9,91.5,7.4,56.9,1.16,15.1,31.5,67.8,50.5,17.8,45.7,51.2,93.69,56.3,1973.00,2000
1,Utah Jazz,21,16,5,1013,105.8,97.4,8.4,70,1.61,19.6,32,70.6,51.8,17.3,50.8,55,91.69,57.4,1939.00,2000
3,Los Angeles Lakers,23,15,8,1114,107.6,103.6,4,61.4,1.6,18,35,69.8,52.4,16.1,50.8,53.6,94.06,53,2183.00,2000
3,Portland Trail Blazers,23,15,8,1109,103.3,99.5,3.8,63.7,1.4,18,33,68,51.2,18,49.6,54.1,90.79,55.3,2103.00,2000
5,Dallas Mavericks,23,14,9,1104,103.2,100.7,2.5,54.2,1.38,15.9,27.8,65,47,15.5,49.4,53.4,92.54,51.4,2129.00,2000
5,New York Knicks,22,14,8,1061,99.4,95.5,3.9,51.4,1.21,14.6,28.9,70.8,50.1,16,46.7,51.6,87.77,52.2,1945.00,2000
5,Phoenix Suns,20,14,6,975,98.6,92.6,6.1,65.4,1.41,17.6,30.1,68.8,49.5,17.5,47.2,51.2,94.03,55.1,1908.00,2000
5,Sacramento Kings,19,14,5,932,101.5,93.1,8.5,61.8,1.5,17.1,30.8,69.4,50.2,15.7,47.6,52.1,96.1,57.9,1874.00,2000
9,Charlotte Hornets,22,13,9,1066,100.1,96.2,3.9,66.3,1.39,17.1,34,68.1,51.3,17.4,45.8,51.1,89.79,54.9,1998.00,2000
9,Cleveland Cavaliers,20,13,7,970,97.9,98.9,-1,60.1,1.14,16.5,35.1,68.2,52.2,20.2,47.2,51.4,91.29,49.7,1842.00,2000
9,Minnesota Timberwolves,22,13,9,1071,102.7,101.2,1.5,61.8,1.62,17.7,31.4,68.6,49.6,15.4,47.8,52,93.29,51,2078.00,2000
9,San Antonio Spurs,20,13,7,965,100.6,94.3,6.2,59.8,1.33,16.1,29.9,69.9,51,16.5,47.4,52.5,92.44,55.7,1859.00,2000
13,Houston Rockets,21,12,9,1013,103.6,101.6,1.9,55.6,1.21,15.4,29.9,68.9,49.3,17.3,48.6,53.8,90.62,50.8,1910.00,2000
14,Miami Heat,22,11,11,1061,97.8,96.5,1.3,58.5,1.19,15.3,28.1,68.5,48.3,17.2,45.9,51.4,89.21,51.3,1970.00,2000
14,Seattle SuperSonics,23,11,12,1104,103.5,104.1,-0.6,57.5,1.26,16.1,32.6,65.2,49.4,17.5,48.6,53.2,95.52,49.9,2195.00,2000
14,Toronto Raptors,21,11,10,1013,102.9,100.6,2.3,66.5,1.66,17.5,35.6,70.4,52.7,15.2,45.3,50.4,92.02,52.4,1942.00,2000
17,Denver Nuggets,23,10,13,1119,99.9,105.1,-5.2,64.2,1.56,17.1,30,68.3,48.8,15.2,45.9,50.4,94.11,46.6,2196.00,2000
17,Indiana Pacers,21,10,11,1018,98.9,99,-0.1,58.4,1.21,15.9,30.7,68.6,50,17.9,47.2,51.8,92.58,50.9,1967.00,2000
17,Milwaukee Bucks,21,10,11,1008,103.8,104.6,-0.8,58.3,1.5,16.5,30.8,67.2,48.9,15.2,48.6,52.9,92.88,49.4,1949.00,2000
20,Boston Celtics,20,9,11,975,98.2,100.3,-2.1,57.9,1.16,15,29,70.3,49.1,17.4,46.5,51.4,95.31,46.6,1936.00,2000
